codigo_entrada,variacao,heuristica,estados_gerados,estados_visitados,custo_total,sucesso
E1_00,SdE Gulosa Deterministica,DE,27,8,33,True
E1_00,SdE Gulosa Deterministica,DM,27,8,33,True
E1_00,SdE Maior Aclive,DE,27,8,33,True
E1_00,SdE Maior Aclive,DM,27,8,33,True
E1_00,SdE Gulosa Estocastica,DE,27,8,33,True
E1_00,SdE Gulosa Estocastica,DM,27,8,33,True
E1_01,SdE Gulosa Deterministica,DE,8,2,,False
E1_01,SdE Gulosa Deterministica,DM,20,6,25,True
E1_01,SdE Maior Aclive,DE,8,2,,False
E1_01,SdE Maior Aclive,DM,20,6,25,True
E1_01,SdE Gulosa Estocastica,DE,8,2,,False
E1_01,SdE Gulosa Estocastica,DM,20,6,26,True
E1_02,SdE Gulosa Deterministica,DE,12,3,,False
E1_02,SdE Gulosa Deterministica,DM,52,14,53,True
E1_02,SdE Maior Aclive,DE,12,3,,False
E1_02,SdE Maior Aclive,DM,52,14,53,True
E1_02,SdE Gulosa Estocastica,DE,12,3,,False
E1_02,SdE Gulosa Estocastica,DM,52,14,49,True
E1_03,SdE Gulosa Deterministica,DE,4,1,,False
E1_03,SdE Gulosa Deterministica,DM,16,5,20,True
E1_03,SdE Maior Aclive,DE,4,1,,False
E1_03,SdE Maior Aclive,DM,16,5,20,True
E1_03,SdE Gulosa Estocastica,DE,4,1,,False
E1_03,SdE Gulosa Estocastica,DM,16,5,20,True
E1_04,SdE Gulosa Deterministica,DE,12,3,,False
E1_04,SdE Gulosa Deterministica,DM,64,17,73,True
E1_04,SdE Maior Aclive,DE,12,3,,False
E1_04,SdE Maior Aclive,DM,64,17,73,True
E1_04,SdE Gulosa Estocastica,DE,12,3,,False
E1_04,SdE Gulosa Estocastica,DM,64,17,69,True
E1_05,SdE Gulosa Deterministica,DE,4,1,,False
E1_05,SdE Gulosa Deterministica,DM,27,9,34,True
E1_05,SdE Maior Aclive,DE,4,1,,False
E1_05,SdE Maior Aclive,DM,27,9,34,True
E1_05,SdE Gulosa Estocastica,DE,4,1,,False
E1_05,SdE Gulosa Estocastica,DM,32,9,40,True
E1_06,SdE Gulosa Deterministica,DE,7,2,,False
E1_06,SdE Gulosa Deterministica,DM,10,4,15,True
E1_06,SdE Maior Aclive,DE,7,2,,False
E1_06,SdE Maior Aclive,DM,10,4,15,True
E1_06,SdE Gulosa Estocastica,DE,7,2,,False
E1_06,SdE Gulosa Estocastica,DM,10,4,15,True
E1_07,SdE Gulosa Deterministica,DE,8,2,,False
E1_07,SdE Gulosa Deterministica,DM,64,17,70,True
E1_07,SdE Maior Aclive,DE,8,2,,False
E1_07,SdE Maior Aclive,DM,64,17,70,True
E1_07,SdE Gulosa Estocastica,DE,8,2,,False
E1_07,SdE Gulosa Estocastica,DM,64,17,66,True
E1_08,SdE Gulosa Deterministica,DE,9,3,,False
E1_08,SdE Gulosa Deterministica,DM,59,21,91,True
E1_08,SdE Maior Aclive,DE,9,3,,False
E1_08,SdE Maior Aclive,DM,59,21,91,True
E1_08,SdE Gulosa Estocastica,DE,9,3,,False
E1_08,SdE Gulosa Estocastica,DM,77,21,83,True
E1_09,SdE Gulosa Deterministica,DE,24,6,,False
E1_09,SdE Gulosa Deterministica,DM,36,10,47,True
E1_09,SdE Maior Aclive,DE,24,6,,False
E1_09,SdE Maior Aclive,DM,36,10,47,True
E1_09,SdE Gulosa Estocastica,DE,24,6,,False
E1_09,SdE Gulosa Estocastica,DM,36,10,46,True
E1_10,SdE Gulosa Deterministica,DE,18,6,,False
E1_10,SdE Gulosa Deterministica,DM,27,8,32,True
E1_10,SdE Maior Aclive,DE,18,6,,False
E1_10,SdE Maior Aclive,DM,27,8,32,True
E1_10,SdE Gulosa Estocastica,DE,18,6,,False
E1_10,SdE Gulosa Estocastica,DM,21,8,33,True
E1_11,SdE Gulosa Deterministica,DE,7,2,,False
E1_11,SdE Gulosa Deterministica,DM,75,20,84,True
E1_11,SdE Maior Aclive,DE,7,2,,False
E1_11,SdE Maior Aclive,DM,75,20,84,True
E1_11,SdE Gulosa Estocastica,DE,7,2,,False
E1_11,SdE Gulosa Estocastica,DM,71,20,93,True
E1_12,SdE Gulosa Deterministica,DE,20,6,22,True
E1_12,SdE Gulosa Deterministica,DM,20,6,22,True
E1_12,SdE Maior Aclive,DE,20,6,22,True
E1_12,SdE Maior Aclive,DM,20,6,22,True
E1_12,SdE Gulosa Estocastica,DE,20,6,22,True
E1_12,SdE Gulosa Estocastica,DM,20,6,22,True
E1_13,SdE Gulosa Deterministica,DE,44,12,49,True
E1_13,SdE Gulosa Deterministica,DM,44,12,49,True
E1_13,SdE Maior Aclive,DE,44,12,49,True
E1_13,SdE Maior Aclive,DM,44,12,49,True
E1_13,SdE Gulosa Estocastica,DE,44,12,49,True
E1_13,SdE Gulosa Estocastica,DM,44,12,49,True
E1_14,SdE Gulosa Deterministica,DE,24,6,,False
E1_14,SdE Gulosa Deterministica,DM,55,18,74,True
E1_14,SdE Maior Aclive,DE,24,6,,False
E1_14,SdE Maior Aclive,DM,55,18,74,True
E1_14,SdE Gulosa Estocastica,DE,24,6,,False
E1_14,SdE Gulosa Estocastica,DM,63,18,70,True
