codigo_entrada,heuristica,fator,estados_gerados,estados_visitados,custo_total,sucesso
E3_00,h1_DEx1,1,383,134,102,True
E3_00,h2_DEx3,3,303,109,102,True
E3_00,h3_DEx6,6,189,63,104,True
E3_00,h4_DMx1,1,359,127,102,True
E3_00,h5_DMx3,3,284,101,102,True
E3_00,h6_DMx6,6,135,46,106,True
E3_01,h1_DEx1,1,154,49,42,True
E3_01,h2_DEx3,3,83,27,42,True
E3_01,h3_DEx6,6,33,12,42,True
E3_01,h4_DMx1,1,147,46,42,True
E3_01,h5_DMx3,3,61,20,42,True
E3_01,h6_DMx6,6,31,11,42,True
E3_02,h1_DEx1,1,358,116,67,True
E3_02,h2_DEx3,3,293,92,67,True
E3_02,h3_DEx6,6,116,35,67,True
E3_02,h4_DMx1,1,351,113,67,True
E3_02,h5_DMx3,3,244,76,67,True
E3_02,h6_DMx6,6,67,20,67,True
E3_03,h1_DEx1,1,375,120,52,True
E3_03,h2_DEx3,3,246,78,52,True
E3_03,h3_DEx6,6,70,22,52,True
E3_03,h4_DMx1,1,347,111,52,True
E3_03,h5_DMx3,3,176,55,52,True
E3_03,h6_DMx6,6,147,33,52,True
E3_04,h1_DEx1,1,171,53,31,True
E3_04,h2_DEx3,3,91,27,31,True
E3_04,h3_DEx6,6,37,12,31,True
E3_04,h4_DMx1,1,154,47,31,True
E3_04,h5_DMx3,3,63,19,31,True
E3_04,h6_DMx6,6,31,10,39,True
E3_05,h1_DEx1,1,4,2,3,True
E3_05,h2_DEx3,3,4,2,3,True
E3_05,h3_DEx6,6,4,2,3,True
E3_05,h4_DMx1,1,4,2,3,True
E3_05,h5_DMx3,3,4,2,3,True
E3_05,h6_DMx6,6,4,2,3,True
E3_06,h1_DEx1,1,515,170,115,True
E3_06,h2_DEx3,3,459,151,115,True
E3_06,h3_DEx6,6,179,56,116,True
E3_06,h4_DMx1,1,515,170,115,True
E3_06,h5_DMx3,3,432,140,115,True
E3_06,h6_DMx6,6,110,36,115,True
E3_07,h1_DEx1,1,483,162,80,True
E3_07,h2_DEx3,3,424,138,80,True
E3_07,h3_DEx6,6,144,45,80,True
E3_07,h4_DMx1,1,480,160,80,True
E3_07,h5_DMx3,3,364,116,80,True
E3_07,h6_DMx6,6,68,22,80,True
E3_08,h1_DEx1,1,92,31,38,True
E3_08,h2_DEx3,3,68,23,38,True
E3_08,h3_DEx6,6,30,12,38,True
E3_08,h4_DMx1,1,89,30,38,True
E3_08,h5_DMx3,3,36,14,38,True
E3_08,h6_DMx6,6,27,11,38,True
E3_09,h1_DEx1,1,108,36,26,True
E3_09,h2_DEx3,3,54,18,26,True
E3_09,h3_DEx6,6,24,8,26,True
E3_09,h4_DMx1,1,90,30,26,True
E3_09,h5_DMx3,3,37,12,26,True
E3_09,h6_DMx6,6,26,8,27,True
E3_10,h1_DEx1,1,215,74,56,True
E3_10,h2_DEx3,3,177,61,56,True
E3_10,h3_DEx6,6,76,25,58,True
E3_10,h4_DMx1,1,208,72,56,True
E3_10,h5_DMx3,3,144,48,56,True
E3_10,h6_DMx6,6,104,34,58,True
E3_11,h1_DEx1,1,83,24,20,True
E3_11,h2_DEx3,3,45,14,20,True
E3_11,h3_DEx6,6,15,5,20,True
E3_11,h4_DMx1,1,79,23,20,True
E3_11,h5_DMx3,3,26,8,20,True
E3_11,h6_DMx6,6,15,5,20,True
E3_12,h1_DEx1,1,157,52,32,True
E3_12,h2_DEx3,3,81,27,32,True
E3_12,h3_DEx6,6,24,8,32,True
E3_12,h4_DMx1,1,134,44,32,True
E3_12,h5_DMx3,3,51,17,32,True
E3_12,h6_DMx6,6,24,8,32,True
E3_13,h1_DEx1,1,205,67,41,True
E3_13,h2_DEx3,3,114,37,41,True
E3_13,h3_DEx6,6,45,14,41,True
E3_13,h4_DMx1,1,205,67,41,True
E3_13,h5_DMx3,3,93,29,41,True
E3_13,h6_DMx6,6,56,18,41,True
E3_14,h1_DEx1,1,334,104,60,True
E3_14,h2_DEx3,3,226,71,60,True
E3_14,h3_DEx6,6,48,15,64,True
E3_14,h4_DMx1,1,313,98,60,True
E3_14,h5_DMx3,3,168,51,60,True
E3_14,h6_DMx6,6,67,20,64,True
E3_15,h1_DEx1,1,471,154,58,True
E3_15,h2_DEx3,3,241,78,58,True
E3_15,h3_DEx6,6,103,35,58,True
E3_15,h4_DMx1,1,429,139,58,True
E3_15,h5_DMx3,3,162,54,58,True
E3_15,h6_DMx6,6,36,14,58,True
E3_16,h1_DEx1,1,18,7,13,True
E3_16,h2_DEx3,3,11,5,13,True
E3_16,h3_DEx6,6,8,4,13,True
E3_16,h4_DMx1,1,18,7,13,True
E3_16,h5_DMx3,3,8,4,13,True
E3_16,h6_DMx6,6,8,4,13,True
E3_17,h1_DEx1,1,345,109,61,True
E3_17,h2_DEx3,3,273,83,61,True
E3_17,h3_DEx6,6,149,41,61,True
E3_17,h4_DMx1,1,339,107,61,True
E3_17,h5_DMx3,3,202,62,61,True
E3_17,h6_DMx6,6,67,21,61,True
E3_18,h1_DEx1,1,113,32,23,True
E3_18,h2_DEx3,3,47,14,23,True
E3_18,h3_DEx6,6,29,9,23,True
E3_18,h4_DMx1,1,102,29,23,True
E3_18,h5_DMx3,3,29,9,23,True
E3_18,h6_DMx6,6,22,7,23,True
E3_19,h1_DEx1,1,295,97,61,True
E3_19,h2_DEx3,3,199,62,61,True
E3_19,h3_DEx6,6,96,29,63,True
E3_19,h4_DMx1,1,278,92,61,True
E3_19,h5_DMx3,3,155,48,61,True
E3_19,h6_DMx6,6,42,15,64,True
