algoritmo,densidade_obstaculos,media_estados_gerados,media_estados_visitados,media_custo_total,qtd_execucoes,taxa_sucesso
SdE Maior Aclive,0.1,29.2,8.95,32.333,20,0.75
Busca Gulosa,0.1,34.6,10.75,45.45,20,1.0
A*,0.1,256.2,74.7,38.15,20,1.0
SdE Maior Aclive,0.2,24.05,8.05,30.8,20,0.5
Busca Gulosa,0.2,37.3,12.55,48.6,20,1.0
A*,0.2,199.15,64.35,42.85,20,1.0
SdE Maior Aclive,0.3,17.0,5.8,29.5,20,0.2
Busca Gulosa,0.3,58.35,21.25,65.1,20,1.0
A*,0.3,220.35,79.9,60.3,20,1.0
SdE Maior Aclive,0.4,13.5,5.3,26.286,20,0.35
Busca Gulosa,0.4,41.9,16.95,56.6,20,1.0
A*,0.4,105.5,42.25,54.65,20,1.0
